Team,Opponent Team,Date,Site,Incident,Time,VAR used,Decision
Independiente,Huracán,2025-05-14,Cilindro,gol legítimo,40',No,Penal
Vélez,Independiente,2025-04-24,Libertadores de América,contacto leve en el área,35',No,Offside
Racing,Independiente,2024-08-18,La Bombonera,posición adelantada en el gol,14',No,Penal
Independiente,Racing,2024-03-31,La Bombonera,gol legítimo,14',Yes,No penal
River,Vélez,2023-12-13,Monumental,empujón dentro del área,11',No,Roja
Independiente,San Lorenzo,2025-04-19,Cilindro,remate desviado tras rebote,64',Yes,No penal
San Lorenzo,Boca,2024-03-18,Monumental,gol legítimo,52',No,Amarilla
Vélez,Racing,2024-01-05,Nuevo Gasómetro,empujón dentro del área,39',No,Roja
Racing,Vélez,2024-09-19,Libertadores de América,codazo en salto,21',Yes,Amarilla
River,San Lorenzo,2024-10-30,Nuevo Gasómetro,codazo en salto,46',Yes,Roja
San Lorenzo,Huracán,2024-09-19,La Bombonera,mano en el área tras un centro,73',No,Gol anulado
Independiente,Vélez,2024-03-23,Cilindro,posición adelantada en el gol,11',No,No penal
San Lorenzo,Independiente,2024-02-01,La Bombonera,empujón dentro del área,88',Yes,Gol anulado
Racing,River,2024-10-22,Nuevo Gasómetro,entrada fuerte desde atrás,76',Yes,Amarilla
Huracán,Lanús,2023-07-13,La Bombonera,empujón dentro del área,18',No,Gol anulado
Boca,San Lorenzo,2025-03-09,Cilindro,empujón dentro del área,76',Yes,Amarilla
Lanús,Vélez,2025-02-24,Nuevo Gasómetro,contacto leve en el área,3',Yes,Amarilla
San Lorenzo,Racing,2023-10-19,Libertadores de América,simulación de falta,76',No,Amarilla
Racing,Huracán,2025-02-19,Libertadores de América,remate desviado tras rebote,10',No,Gol anulado
River,Boca,2024-07-20,La Bombonera,gol legítimo,6',No,Offside
River,Boca,2023-07-02,Cilindro,simulación de falta,88',No,Roja
Huracán,San Lorenzo,2025-03-22,Nuevo Gasómetro,codazo en salto,86',No,Gol anulado
River,Racing,2024-03-29,Monumental,codazo en salto,63',No,Gol anulado
Boca,River,2023-11-28,Libertadores de América,remate desviado tras rebote,59',No,Offside
River,San Lorenzo,2024-04-23,Nuevo Gasómetro,gol con la mano,66',Yes,Gol válido
Lanús,San Lorenzo,2024-07-06,La Bombonera,contacto leve en el área,16',No,No penal
Boca,Racing,2023-09-07,La Bombonera,entrada fuerte desde atrás,88',No,Roja
San Lorenzo,Racing,2025-03-04,Libertadores de América,mano en el área tras un centro,48',No,Gol anulado
Racing,Lanús,2025-04-29,La Bombonera,posición adelantada en el gol,55',Yes,Roja
Racing,San Lorenzo,2023-12-31,Monumental,contacto leve en el área,71',No,Gol válido
Boca,Lanús,2023-11-12,Libertadores de América,contacto leve en el área,39',No,Gol anulado
Racing,Boca,2024-10-10,Nuevo Gasómetro,gol legítimo,73',No,Offside
Vélez,Racing,2024-06-24,Libertadores de América,entrada fuerte desde atrás,77',Yes,Gol anulado
Huracán,River,2025-04-29,Monumental,gol legítimo,41',No,Roja
Huracán,Racing,2023-07-18,Cilindro,empujón dentro del área,10',Yes,Roja
Vélez,Independiente,2023-08-06,Libertadores de América,mano en el área tras un centro,54',Yes,Roja
Vélez,River,2024-07-09,Monumental,posición adelantada en el gol,4',Yes,Amarilla
Huracán,Racing,2024-03-17,Monumental,posición adelantada en el gol,17',No,Penal
Lanús,Huracán,2024-09-13,Cilindro,posición adelantada en el gol,72',Yes,Penal
San Lorenzo,River,2024-02-24,Monumental,gol con la mano,32',No,No penal
Lanús,Racing,2024-01-12,Cilindro,gol legítimo,42',No,Gol válido
River,Independiente,2025-01-25,Libertadores de América,mano en el área tras un centro,50',No,No penal
River,Huracán,2023-12-10,Nuevo Gasómetro,contacto leve en el área,73',Yes,Offside
Racing,San Lorenzo,2024-01-22,La Bombonera,entrada fuerte desde atrás,14',No,Amarilla
Huracán,River,2024-12-21,Nuevo Gasómetro,empujón dentro del área,58',No,No penal
Huracán,San Lorenzo,2023-12-29,Libertadores de América,codazo en salto,29',No,Amarilla
San Lorenzo,River,2024-08-26,La Bombonera,empujón dentro del área,48',Yes,Offside
River,Independiente,2023-12-11,Cilindro,contacto leve en el área,16',No,No penal
Independiente,Lanús,2023-11-20,Cilindro,posición adelantada en el gol,61',Yes,Amarilla
River,Vélez,2024-06-05,Monumental,contacto leve en el área,5',No,Roja
Boca,Vélez,2025-01-22,Cilindro,gol legítimo,50',No,Offside
Huracán,Independiente,2025-03-18,Monumental,simulación de falta,70',Yes,No penal
River,Boca,2024-03-01,Monumental,mano en el área tras un centro,60',Yes,Gol válido
Racing,Huracán,2023-06-21,Libertadores de América,posición adelantada en el gol,42',No,No penal
San Lorenzo,Lanús,2024-06-29,Monumental,simulación de falta,45',Yes,No penal
Lanús,Racing,2024-12-22,Libertadores de América,gol legítimo,58',No,Roja
Huracán,River,2025-02-10,Nuevo Gasómetro,posición adelantada en el gol,28',No,No penal
Independiente,Vélez,2024-11-28,Nuevo Gasómetro,empujón dentro del área,10',Yes,Offside
Vélez,Boca,2025-04-14,Cilindro,entrada fuerte desde atrás,70',No,Offside
Independiente,Lanús,2025-03-24,Nuevo Gasómetro,contacto leve en el área,21',Yes,Penal
Vélez,Huracán,2023-09-06,La Bombonera,contacto leve en el área,29',No,Gol anulado
River,Lanús,2025-05-31,Cilindro,mano en el área tras un centro,38',No,Gol anulado
Lanús,Independiente,2025-03-03,La Bombonera,mano en el área tras un centro,8',No,No penal
Vélez,Lanús,2024-06-05,Monumental,remate desviado tras rebote,48',Yes,Gol anulado
Lanús,Vélez,2024-07-20,Cilindro,simulación de falta,34',No,No penal
Lanús,River,2025-02-19,Monumental,simulación de falta,90',Yes,Penal
Vélez,Racing,2025-03-08,La Bombonera,gol legítimo,44',Yes,Roja
Racing,Boca,2023-11-17,Monumental,posición adelantada en el gol,54',No,Offside
Racing,Vélez,2023-09-14,Cilindro,simulación de falta,44',Yes,Gol válido
River,Independiente,2024-07-14,Cilindro,codazo en salto,19',No,Offside
Vélez,San Lorenzo,2025-02-28,La Bombonera,mano en el área tras un centro,64',No,Gol anulado
Independiente,Lanús,2024-08-05,Monumental,contacto leve en el área,83',Yes,No penal
Huracán,Vélez,2025-04-10,Monumental,contacto leve en el área,30',Yes,Gol anulado
San Lorenzo,Boca,2023-07-19,Monumental,simulación de falta,77',Yes,Offside
Lanús,Independiente,2023-10-11,Nuevo Gasómetro,entrada fuerte desde atrás,30',Yes,Gol válido
River,Vélez,2023-09-21,Libertadores de América,entrada fuerte desde atrás,73',Yes,Penal
Boca,Vélez,2024-02-16,Nuevo Gasómetro,empujón dentro del área,45',No,Offside
Independiente,Racing,2023-12-24,Monumental,gol con la mano,41',Yes,No penal
Vélez,Boca,2024-06-02,Monumental,entrada fuerte desde atrás,20',Yes,Roja
Racing,Independiente,2025-01-22,Cilindro,remate desviado tras rebote,3',No,Roja
River,Huracán,2024-08-01,Libertadores de América,simulación de falta,30',Yes,No penal
Racing,Independiente,2025-04-28,Nuevo Gasómetro,empujón dentro del área,20',Yes,Offside
San Lorenzo,Lanús,2024-01-12,La Bombonera,codazo en salto,22',No,Penal
Huracán,Boca,2024-03-16,Libertadores de América,posición adelantada en el gol,73',Yes,Penal
Racing,Vélez,2024-12-29,Nuevo Gasómetro,codazo en salto,15',No,Penal
Independiente,Huracán,2024-06-05,Nuevo Gasómetro,contacto leve en el área,35',No,Gol válido
Lanús,Vélez,2023-10-11,Monumental,codazo en salto,47',Yes,Gol anulado
Huracán,Boca,2025-01-07,La Bombonera,posición adelantada en el gol,56',No,Amarilla
Racing,San Lorenzo,2024-01-04,Nuevo Gasómetro,codazo en salto,70',No,Amarilla
River,Vélez,2024-02-01,Libertadores de América,mano en el área tras un centro,21',Yes,Penal
River,Vélez,2024-01-05,La Bombonera,gol legítimo,69',Yes,No penal
Vélez,River,2024-06-06,Cilindro,posición adelantada en el gol,58',Yes,Gol anulado
Independiente,Huracán,2024-10-07,Monumental,remate desviado tras rebote,89',No,Penal
Lanús,River,2023-09-11,La Bombonera,codazo en salto,44',Yes,Roja
Huracán,San Lorenzo,2024-04-15,Cilindro,empujón dentro del área,65',No,Offside
Lanús,Boca,2025-03-01,Monumental,contacto leve en el área,22',No,Roja
Racing,Independiente,2024-11-14,Cilindro,gol con la mano,61',Yes,Penal
Vélez,Lanús,2024-01-04,Monumental,posición adelantada en el gol,64',No,Offside
Vélez,Huracán,2025-04-26,Libertadores de América,gol con la mano,63',No,Roja
Lanús,River,2024-09-11,Monumental,codazo en salto,20',Yes,Amarilla
Huracán,Vélez,2023-10-22,Nuevo Gasómetro,contacto leve en el área,19',Yes,Offside
San Lorenzo,Huracán,2024-11-25,La Bombonera,mano en el área tras un centro,53',No,No penal
San Lorenzo,Boca,2024-01-23,Monumental,codazo en salto,36',Yes,Roja
Independiente,Lanús,2024-11-07,Cilindro,mano en el área tras un centro,67',Yes,Offside
River,Racing,2025-02-13,Monumental,posición adelantada en el gol,90',No,Amarilla
Vélez,San Lorenzo,2024-06-07,Monumental,posición adelantada en el gol,1',Yes,Gol válido
Vélez,Huracán,2025-05-20,Nuevo Gasómetro,contacto leve en el área,59',No,No penal
Huracán,Boca,2024-08-13,Libertadores de América,posición adelantada en el gol,24',No,Penal
Independiente,Vélez,2023-12-04,Cilindro,remate desviado tras rebote,37',Yes,Penal
Huracán,River,2024-03-06,Monumental,codazo en salto,82',Yes,Offside
Racing,Boca,2024-09-27,Nuevo Gasómetro,posición adelantada en el gol,23',Yes,Gol anulado
River,Boca,2024-04-06,Nuevo Gasómetro,mano en el área tras un centro,15',No,Roja
Vélez,Independiente,2025-01-28,Libertadores de América,gol legítimo,57',No,No penal
Lanús,Boca,2025-04-18,Nuevo Gasómetro,entrada fuerte desde atrás,31',Yes,Gol anulado
Huracán,San Lorenzo,2023-10-08,Cilindro,simulación de falta,53',No,Penal
Boca,Huracán,2023-11-30,La Bombonera,remate desviado tras rebote,78',No,No penal
Huracán,Vélez,2025-03-10,Libertadores de América,mano en el área tras un centro,2',Yes,Gol anulado
Huracán,Boca,2023-11-21,La Bombonera,empujón dentro del área,34',Yes,No penal
Vélez,Racing,2023-12-25,Libertadores de América,mano en el área tras un centro,43',No,Gol válido
San Lorenzo,Independiente,2025-04-18,Monumental,entrada fuerte desde atrás,3',No,Amarilla
Vélez,Racing,2023-09-18,Nuevo Gasómetro,mano en el área tras un centro,16',No,Gol anulado
Huracán,Lanús,2024-03-11,Cilindro,posición adelantada en el gol,43',No,Roja
Huracán,Independiente,2023-12-19,Monumental,remate desviado tras rebote,2',Yes,Gol anulado
Vélez,Independiente,2023-08-06,Nuevo Gasómetro,posición adelantada en el gol,86',Yes,Gol válido
Boca,Racing,2025-03-19,Cilindro,gol con la mano,36',No,No penal
San Lorenzo,Huracán,2024-01-16,Libertadores de América,mano en el área tras un centro,61',Yes,Gol anulado
Huracán,Racing,2024-08-04,Nuevo Gasómetro,empujón dentro del área,34',Yes,Gol anulado
Huracán,River,2023-09-20,Libertadores de América,gol legítimo,11',Yes,Amarilla
Independiente,Huracán,2024-12-28,Cilindro,entrada fuerte desde atrás,25',Yes,Amarilla
Independiente,River,2023-07-22,Libertadores de América,contacto leve en el área,52',No,Gol válido
San Lorenzo,Independiente,2025-02-10,La Bombonera,posición adelantada en el gol,3',Yes,Penal
Racing,Independiente,2025-04-13,Cilindro,posición adelantada en el gol,47',Yes,Offside
Racing,San Lorenzo,2023-12-05,Libertadores de América,posición adelantada en el gol,76',No,Penal
River,Huracán,2024-06-11,Cilindro,contacto leve en el área,84',No,Amarilla
Vélez,Independiente,2025-04-08,La Bombonera,gol con la mano,62',Yes,Penal
Lanús,Huracán,2023-12-13,Monumental,codazo en salto,50',Yes,Penal
Vélez,Lanús,2023-07-22,Cilindro,mano en el área tras un centro,49',No,Penal
Boca,Vélez,2023-11-07,Nuevo Gasómetro,contacto leve en el área,57',Yes,Amarilla
San Lorenzo,Boca,2024-03-20,Cilindro,remate desviado tras rebote,11',No,Penal
Boca,River,2023-11-21,Nuevo Gasómetro,entrada fuerte desde atrás,17',No,Offside
Vélez,Huracán,2025-02-17,Nuevo Gasómetro,gol legítimo,65',No,Roja
Huracán,Boca,2025-03-04,Nuevo Gasómetro,gol con la mano,23',Yes,Amarilla
Vélez,Independiente,2024-07-31,Nuevo Gasómetro,empujón dentro del área,89',Yes,Gol válido
Racing,Boca,2024-05-10,Libertadores de América,mano en el área tras un centro,11',No,Penal
Vélez,Huracán,2024-09-11,Libertadores de América,posición adelantada en el gol,13',No,No penal
River,Vélez,2024-01-23,Cilindro,empujón dentro del área,56',Yes,No penal
Racing,San Lorenzo,2024-10-28,Libertadores de América,empujón dentro del área,51',No,Roja
River,Huracán,2023-11-03,Libertadores de América,remate desviado tras rebote,42',Yes,Offside
Huracán,Boca,2024-06-02,Libertadores de América,mano en el área tras un centro,47',Yes,Amarilla
Huracán,Independiente,2025-05-25,Monumental,mano en el área tras un centro,37',No,Gol anulado
Huracán,San Lorenzo,2023-09-27,Nuevo Gasómetro,remate desviado tras rebote,45',Yes,Gol anulado
Vélez,Boca,2023-08-16,Nuevo Gasómetro,gol con la mano,64',No,Penal
River,San Lorenzo,2024-12-10,Cilindro,posición adelantada en el gol,35',Yes,Gol anulado
Racing,Lanús,2024-10-27,Monumental,contacto leve en el área,43',No,Gol anulado
Independiente,Huracán,2024-10-01,Monumental,mano en el área tras un centro,40',No,Penal
Lanús,San Lorenzo,2024-07-15,Monumental,posición adelantada en el gol,86',No,Gol anulado
River,Vélez,2023-10-12,Monumental,simulación de falta,35',Yes,Gol anulado
River,Huracán,2023-09-07,Nuevo Gasómetro,gol legítimo,67',Yes,Offside
Huracán,River,2023-09-01,Monumental,entrada fuerte desde atrás,74',No,Penal
Racing,Vélez,2025-01-23,Libertadores de América,gol con la mano,42',No,Gol válido
Lanús,Huracán,2023-11-23,Monumental,simulación de falta,67',No,Gol válido
Huracán,Racing,2024-09-19,Cilindro,remate desviado tras rebote,14',Yes,Penal
Racing,Independiente,2024-04-02,La Bombonera,contacto leve en el área,84',Yes,Penal
River,Boca,2024-03-31,La Bombonera,gol legítimo,1',No,Amarilla
Lanús,Independiente,2024-01-05,Nuevo Gasómetro,simulación de falta,4',No,No penal
Lanús,River,2024-10-22,La Bombonera,remate desviado tras rebote,48',No,Gol válido
Lanús,Racing,2024-08-16,Cilindro,mano en el área tras un centro,48',Yes,Gol anulado
Racing,River,2024-10-26,Libertadores de América,contacto leve en el área,35',No,Gol anulado
San Lorenzo,Boca,2023-12-29,Libertadores de América,mano en el área tras un centro,60',No,Amarilla
San Lorenzo,Boca,2025-05-26,Libertadores de América,posición adelantada en el gol,23',No,Gol anulado
Independiente,River,2024-10-30,Libertadores de América,simulación de falta,21',Yes,No penal
San Lorenzo,Lanús,2023-09-23,Cilindro,entrada fuerte desde atrás,58',No,Gol válido
Vélez,Lanús,2023-07-11,Libertadores de América,mano en el área tras un centro,89',No,Gol válido
Boca,Lanús,2023-12-11,Monumental,gol con la mano,88',Yes,Roja
Racing,Lanús,2024-04-04,Nuevo Gasómetro,mano en el área tras un centro,5',No,Roja
Huracán,Racing,2023-10-28,La Bombonera,posición adelantada en el gol,64',Yes,Roja
Racing,Vélez,2023-09-19,Libertadores de América,gol con la mano,53',Yes,Amarilla
Lanús,Huracán,2023-10-24,Monumental,empujón dentro del área,69',Yes,Penal
Boca,Huracán,2023-12-02,Libertadores de América,simulación de falta,11',No,Offside
Racing,River,2025-01-14,Monumental,gol con la mano,51',Yes,Amarilla
Racing,San Lorenzo,2025-05-08,La Bombonera,posición adelantada en el gol,35',Yes,Offside
Independiente,Racing,2023-07-09,Cilindro,contacto leve en el área,25',No,Gol válido
Boca,Racing,2024-07-12,La Bombonera,remate desviado tras rebote,50',Yes,Offside
Independiente,Vélez,2024-12-26,Monumental,remate desviado tras rebote,1',No,Gol anulado
Huracán,River,2023-08-26,Cilindro,contacto leve en el área,37',No,Penal
Lanús,Boca,2025-01-20,Monumental,codazo en salto,27',No,Gol anulado
Vélez,Racing,2024-10-10,Libertadores de América,codazo en salto,2',No,Gol válido
Huracán,Independiente,2024-06-01,Nuevo Gasómetro,posición adelantada en el gol,16',No,Gol anulado
Boca,Independiente,2025-05-10,Cilindro,contacto leve en el área,69',Yes,Gol anulado
Racing,Independiente,2025-05-17,La Bombonera,mano en el área tras un centro,46',No,Amarilla
Boca,Lanús,2023-10-09,Nuevo Gasómetro,entrada fuerte desde atrás,52',No,Amarilla
Racing,Lanús,2025-03-14,Cilindro,mano en el área tras un centro,78',No,No penal
Huracán,Vélez,2025-06-01,Nuevo Gasómetro,remate desviado tras rebote,21',No,Amarilla
San Lorenzo,Boca,2024-04-11,La Bombonera,mano en el área tras un centro,40',No,Roja
Huracán,Boca,2023-06-09,Nuevo Gasómetro,gol con la mano,1',Yes,No penal
Independiente,River,2024-04-22,Monumental,entrada fuerte desde atrás,3',Yes,Penal
Huracán,Boca,2025-03-20,Nuevo Gasómetro,gol legítimo,84',No,Penal
Racing,Independiente,2024-04-02,La Bombonera,simulación de falta,54',No,Offside
Huracán,Independiente,2023-10-10,Nuevo Gasómetro,remate desviado tras rebote,85',Yes,Amarilla
Independiente,Huracán,2024-10-12,Cilindro,gol legítimo,90',Yes,No penal
Boca,River,2025-03-26,La Bombonera,empujón dentro del área,11',Yes,No penal
Vélez,River,2024-03-04,La Bombonera,gol con la mano,35',Yes,Offside
Racing,Independiente,2024-08-25,Libertadores de América,gol legítimo,28',No,Offside
Huracán,Lanús,2024-06-15,Monumental,contacto leve en el área,82',No,Gol anulado
Independiente,River,2023-06-16,Nuevo Gasómetro,gol con la mano,25',No,Amarilla
River,Huracán,2024-09-22,Monumental,gol con la mano,19',Yes,Roja
River,San Lorenzo,2024-03-22,Libertadores de América,gol legítimo,60',Yes,Gol válido
River,Vélez,2025-02-04,Nuevo Gasómetro,entrada fuerte desde atrás,21',Yes,Roja
Vélez,Independiente,2025-03-03,Nuevo Gasómetro,gol con la mano,29',Yes,Penal
Huracán,Independiente,2024-02-22,Cilindro,entrada fuerte desde atrás,26',No,Amarilla
River,Independiente,2023-07-28,Monumental,mano en el área tras un centro,85',Yes,No penal
Independiente,Boca,2024-11-13,Nuevo Gasómetro,empujón dentro del área,5',No,Gol anulado
Vélez,Huracán,2024-06-28,Monumental,posición adelantada en el gol,44',No,Gol anulado
Huracán,Lanús,2025-04-26,Nuevo Gasómetro,contacto leve en el área,37',Yes,Gol válido
San Lorenzo,Vélez,2023-06-25,Nuevo Gasómetro,gol legítimo,78',Yes,Gol anulado
Lanús,San Lorenzo,2023-12-14,Monumental,mano en el área tras un centro,19',Yes,Roja
Huracán,Vélez,2024-12-04,Libertadores de América,remate desviado tras rebote,51',Yes,Amarilla
Boca,Racing,2024-11-07,Libertadores de América,contacto leve en el área,56',Yes,Roja
Racing,Vélez,2024-07-18,Libertadores de América,mano en el área tras un centro,59',No,Offside
Vélez,Independiente,2023-12-20,La Bombonera,contacto leve en el área,14',Yes,Gol anulado
Lanús,San Lorenzo,2025-02-27,La Bombonera,posición adelantada en el gol,60',No,Gol anulado
Huracán,Independiente,2024-11-04,Cilindro,contacto leve en el área,58',No,Gol anulado
River,Independiente,2024-09-15,La Bombonera,contacto leve en el área,4',Yes,Amarilla
San Lorenzo,Racing,2024-04-01,Cilindro,posición adelantada en el gol,38',Yes,No penal
Independiente,Racing,2025-03-15,Nuevo Gasómetro,posición adelantada en el gol,19',Yes,Gol anulado
Independiente,River,2024-12-11,Libertadores de América,posición adelantada en el gol,80',Yes,No penal
Racing,Boca,2024-11-09,Libertadores de América,entrada fuerte desde atrás,19',Yes,Offside
Independiente,Huracán,2024-10-30,Monumental,empujón dentro del área,90',No,Penal
San Lorenzo,Independiente,2024-07-29,La Bombonera,mano en el área tras un centro,47',Yes,Gol válido
Lanús,Huracán,2024-01-27,Cilindro,contacto leve en el área,30',No,Amarilla
Independiente,Vélez,2024-05-13,La Bombonera,contacto leve en el área,67',Yes,Roja
Vélez,Racing,2025-01-23,Cilindro,empujón dentro del área,71',No,Offside
Lanús,Boca,2023-08-01,Monumental,codazo en salto,77',No,No penal
Vélez,Boca,2024-08-18,Cilindro,simulación de falta,39',No,Gol válido
Lanús,San Lorenzo,2024-04-27,La Bombonera,empujón dentro del área,2',No,No penal
San Lorenzo,Racing,2023-12-14,Cilindro,posición adelantada en el gol,26',Yes,Penal
River,Racing,2025-05-14,Libertadores de América,gol legítimo,39',Yes,Offside
River,Independiente,2025-06-03,Monumental,mano en el área tras un centro,38',No,Offside
Lanús,Independiente,2024-02-03,Nuevo Gasómetro,remate desviado tras rebote,57',Yes,No penal
Vélez,Boca,2024-12-25,Monumental,remate desviado tras rebote,82',No,Amarilla
Vélez,Independiente,2024-08-03,Nuevo Gasómetro,codazo en salto,34',Yes,Penal
Racing,Boca,2024-05-04,Cilindro,gol legítimo,49',Yes,Amarilla
Boca,Independiente,2024-06-18,Nuevo Gasómetro,empujón dentro del área,80',Yes,Roja
Racing,Lanús,2024-11-21,Nuevo Gasómetro,entrada fuerte desde atrás,39',Yes,Amarilla
Vélez,San Lorenzo,2024-03-18,La Bombonera,entrada fuerte desde atrás,65',No,Gol anulado
San Lorenzo,Huracán,2024-05-13,Libertadores de América,gol con la mano,37',Yes,Gol válido
Racing,Boca,2025-05-15,La Bombonera,codazo en salto,67',Yes,No penal
Racing,Vélez,2024-12-26,Nuevo Gasómetro,gol con la mano,50',Yes,Offside
Racing,Huracán,2024-09-10,Nuevo Gasómetro,entrada fuerte desde atrás,77',Yes,Amarilla
Independiente,Lanús,2024-08-14,Libertadores de América,contacto leve en el área,40',No,Roja
Independiente,Boca,2025-02-05,Cilindro,contacto leve en el área,64',Yes,No penal
Huracán,Boca,2024-02-22,Libertadores de América,gol con la mano,30',No,Offside
Racing,Independiente,2023-08-26,La Bombonera,simulación de falta,75',Yes,No penal
Vélez,Lanús,2023-07-24,Cilindro,mano en el área tras un centro,77',No,Penal
Racing,Boca,2025-01-05,Cilindro,mano en el área tras un centro,12',Yes,No penal
San Lorenzo,Vélez,2024-11-24,Libertadores de América,codazo en salto,11',Yes,Amarilla
Boca,Huracán,2024-07-03,Cilindro,contacto leve en el área,52',Yes,No penal
San Lorenzo,River,2024-01-28,Nuevo Gasómetro,empujón dentro del área,71',Yes,Gol anulado
Independiente,Vélez,2024-05-09,La Bombonera,posición adelantada en el gol,19',Yes,Gol anulado
Boca,River,2025-05-09,La Bombonera,entrada fuerte desde atrás,4',Yes,Amarilla
Racing,San Lorenzo,2025-04-27,Libertadores de América,posición adelantada en el gol,24',Yes,Penal
River,Independiente,2023-06-08,Monumental,remate desviado tras rebote,49',Yes,Gol válido
Racing,San Lorenzo,2024-04-06,La Bombonera,simulación de falta,58',No,No penal
River,Boca,2025-01-03,Libertadores de América,mano en el área tras un centro,79',No,Amarilla
